smiles,pIC50
C1=CC(=CC(=C1)NC(=O)NC2=C(C=C(C=C2)F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=C(C(=CC=C5)Cl)Cl,"6,769551079"
C1=CC(=CC(=C1)NC(=O)NC2=C(C=C(C=C2)F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=C(C=C5)Cl)Cl,"5,723538196"
C1=CC(=CC(=C1)NC(=O)NC2=C(C=C(C=C2)F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=CC(=C5)Cl)Cl,"7,22184875"
C1=CC(=CC(=C1)NC(=O)NC2=C(C=C(C=C2)F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=C(C=C5)F)Cl,"5,809668302"
C1=CC(=CC(=C1)NC(=O)NC2=C(C=C(C=C2)F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=C(C(=C5)Cl)F)Cl,"6,408935393"
CC1=C(C=C(C=C1)C(=O)NC2=NC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)NC5=C(C=C(C=C5)F)F)Cl,"5,70333481"
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)F)C(F)(F)F)C3=CN=C4N3C=CN=C4N,"5,671620397"
CC1=C(C=CC=C1OC)C(=O)NC2=CC=CC(=C2)C3=CN=C4N3C=CN=C4N,"4,997402019"
C1=CC(=CC(=C1)NC(=O)C2=CC(=CC=C2)OC(F)(F)F)C3=CN=C4N3C=CN=C4N,"4,861697302"
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)Cl)C(F)(F)F)C3=CN=C4N3C=CN=C4N,"5,850780887"
CC1=CC(=CC(=C1)C(=O)NC2=CC=CC(=C2)C3=CN=C4N3C=CN=C4N)C,"6,086186148"
C1=CC(=CC(=C1)NC(=O)C2=CC=C(C=C2)OC(F)(F)F)C3=CN=C4N3C=CN=C4N,"6,366531544"
COC1=C(C=C(C=C1)C(=O)NC2=CC=CC(=C2)C3=CN=C4N3C=CN=C4N)OC,"5,415668776"
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)F)Cl)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=C(C=C5)Cl)C(F)(F)F,"5,966576245"
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)F)Cl)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=CC=C5)OC(F)(F)F,"5,823908741"
C1=CC(=CC(=C1)NC(=O)NC2=C(C=C(C=C2)F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC=C(C=C5)Br,"5,425968732"
C1=CC(=CC(=C1)NC(=O)NC2=C(C=C(C=C2)F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=CC=C5)C(F)(F)F,"6,356547324"
COC1=CC(=CC(=C1OC)OC)C(=O)NC2=CC=CC(=C2)C3=CN=C4N3C=CN=C4N,"5,812479279"
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)F)Cl)C3=CN=C4N3C=CN=C4NC(=O)C5=CC=C(C=C5)C(F)(F)F,"6,251811973"
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)F)Cl)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=CC(=C5)C(F)(F)F)C(F)(F)F,"5,935542011"
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)F)Cl)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=C(C=C5)F)C(F)(F)F,"5,943095149"
C1=CC(=CC(=C1)NC(=O)NC2=C(C=C(C=C2)F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=CC=C5)OC(F)(F)F,"6,022276395"
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)F)Cl)C3=CN=C4N3C=CN=C4NC(=O)C5=CC=C(C=C5)OC(F)(F)F,"6,356547324"
C1=CC(=CC(=C1)NC(=O)NC2=C(C=C(C=C2)F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC=C(C=C5)OC(F)(F)F,"5,42136079"
CC1=CC(=CC(=C1)C(=O)NC2=NC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)NC5=C(C=C(C=C5)F)F)C,"6,920818754"
C1=CC=C(C=C1)C(=O)NC2=NC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)NC5=CC(=C(C=C5)Cl)C(F)(F)F,"5,850780887"
C1=CC(=CC(=C1)NC(=O)NC2=CC(=C(C=C2)Cl)C(F)(F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=CC(=C5)F)F,"5,71219827"
C1=CC(=CC(=C1)NC(=O)NC2=CC(=C(C=C2)Cl)C(F)(F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=CC(=C5)Cl)Cl,"7,522878745"
CC1=CC(=CC(=C1)C(=O)NC2=NC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)C5=CC(=C(C=C5)F)Cl)C,"5,785156152"
C1=CC=C(C=C1)C(=O)NC2=CC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)C5=C(C(=CC=C5)Cl)Cl,"4,522878745"
C1=CC=C(C=C1)C(=O)NC2=CC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)C5=CC(=C(C=C5)F)Cl,"5,094743951"
C1=CC=C(C=C1)C(=O)NC2=CC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)C5=CC(=C(C(=C5)Cl)F)Cl,"5,13430394"
CC1=CC(=C(C=C1)C)C(=O)NC2=CC=CC(=C2)C3=CN=C4N3C=CN=C4N,"5,563837353"
C1=CC=C(C=C1)C(=O)NC2=NC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)C5=CC(=C(C=C5)F)Cl,"5,935542011"
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)F)Cl)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=CC(=C5)F)F,"6,346787486"
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)F)Cl)C3=CN=C4N3C=CN=C4NC(=O)C5=C(C(=CC=C5)Cl)Cl,"4,633017024"
C1=CC=C(C=C1)C(=O)NC2=NC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)C5=CC(=C(C=C5)Cl)C(F)(F)F,"5,739928612"
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)Cl)C(F)(F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=CC(=C5)F)F,"5,790484985"
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)Cl)C(F)(F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=C(C=C5)Cl)Cl,"6,180456064"
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)Cl)C(F)(F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=C(C(=C5)Cl)F)Cl,"4,522878745"
CC1=C(C=C(C=C1)C(=O)NC2=NC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)C5=CC(=C(C=C5)Cl)C(F)(F)F)Cl,"5,554395797"
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)Cl)C(F)(F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC=C(C=C5)Br,"5,744727495"
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)Cl)C(F)(F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=CC=C5)C(F)(F)F,"4,897223385"
CC1=C(C=C(C=C1)C(=O)NC2=CC=CC(=C2)C3=CN=C4N3C=CC=C4NC(=O)C5=CC=CC=C5)Cl,"5,150580586"
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)F)Cl)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=C(C=C5)Cl)Cl,"6,045757491"
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)F)Cl)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=CC(=C5)Cl)Cl,"5,93930216"
C1=CC(=CC(=C1)NC(=O)NC2=C(C=C(C=C2)F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC=C(C=C5)C(F)(F)F,"5,563837353"
C1=CC(=CC(=C1)NC(=O)NC2=C(C=C(C=C2)F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=CC(=C5)C(F)(F)F)C(F)(F)F,"6,958607315"
